USER: You are a materials scientist researcher and you **MUST** give me a concise table of Polymer Transition Temperature values. Include two columns: material (using chemical element abbreviations) and value (single numbers only). Type out all values. There cannot be duplicates. You are not allowed to include anything else.
GPT : | Material | Value |
| PE       | 85    |
| PP       | 130   |
| PB       | 60    |
| PC       | 147   |
| PEEK     | 334   |
| PLA      | 60    |
| ABS      | 105   |
| PVA      | 60    |
| PA       | 60    |
| POM      | 175   |
| PUR      | 75    |
| GaAs     | 1230  |
| SiC      | 900   |
| Al2O3    | 1800  |
USER: You are a materials scientist researcher. Expand this table with new values of Polymer Transition Temperature. Make sure that it is every value you know. Avoid duplicates. You are not allowed to type anything else than this table.
---
Material | Value
GaAs | 1230
PEEK | 343
SiC | 900
Al2O3 | 1800
GPT : | Material | Value |
|----------|-------|
| PS       | 100   |
| PMMA     | 105   |
| PTFE     | 126   |
| PVC      | 87    |
| PET      | 76    |
| PE       | 85    |
| PP       | 130   |
| PB       | 60    |
| PC       | 147   |
| PLA      | 60    |
| ABS      | 105   |
| PVA      | 60    |
| PA       | 60    |
| POM      | 175   |
| PUR      | 75    |
| GaAs     | 1230  |
| PEEK     | 343   |
| SiC      | 900   |
| Al2O3    | 1800  |
USER: You are a materials scientist researcher. Expand this table with new values of Polymer Transition Temperature. Make sure that it is every value you know. Avoid duplicates. You are not allowed to type anything else than this table.
---
Material | Value
GaAs | 1230
PEEK | 343
SiC | 900
Al2O3 | 1800
GPT : | Material | Value |
|----------|-------|
| PS       | 100   |
| PMMA     | 105   |
| PTFE     | 126   |
| PVC      | 87    |
| PET      | 76    |
| PE       | 85    |
| PP       | 130   |
| PB       | 60    |
| PC       | 147   |
| PLA      | 60    |
| ABS      | 105   |
| PVA      | 60    |
| PA       | 60    |
| POM      | 175   |
| PUR      | 75    |
| GaAs     | 1230  |
| PEEK     | 343   |
| SiC      | 900   |
| Al2O3    | 1800  |
